Marital status;Application mode;Application order;Course;Daytime evening attendance ;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;17;5;171;1;1;122;1;19;12;5;9;127,3;1;0;0;1;1;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8;1,4;1,74;Dropout
1;1;5;9070;1;1;122;1;37;37;9;9;124,8;1;0;0;0;1;0;19;0;0;6;0;0;0;0;0;6;0;0;0;0;10,8;1,4;1,74;Dropout
1;18;4;9254;1;1;119;1;37;37;9;9;113,1;1;0;0;0;1;0;22;0;0;5;5;0;0;0;0;5;5;0;0;0;15,5;2,8;-4,06;Dropout
1;1;1;9238;1;1;138;1;1;19;4;7;123;1;0;1;0;0;0;18;0;0;6;9;5;11,4;0;0;6;14;2;13,5;0;8,9;1,4;3,51;Dropout
1;1;2;9853;1;1;133;1;19;37;4;9;130,2;1;0;0;1;0;0;19;0;0;6;6;0;0;0;0;6;0;0;0;0;12,7;3,7;-1,7;Dropout
1;1;1;9773;1;1;127;1;19;37;9;3;120,7;1;0;0;1;0;0;20;0;0;6;6;5;13,2;0;0;6;7;0;0;0;15,5;2,8;-4,06;Dropout
1;39;1;33;1;1;130;1;38;37;9;6;102,5;0;0;1;0;1;0;37;0;0;7;7;0;0;0;0;7;7;1;10;0;8,9;1,4;3,51;Dropout
1;39;1;9119;1;10;133,1;1;34;37;0;0;128,8;1;0;0;1;1;0;43;0;0;5;0;0;0;0;0;5;0;0;0;0;7,6;2,6;0,32;Dropout
1;43;1;9147;1;1;140;1;37;37;6;6;122,9;0;0;0;1;0;0;55;0;0;5;10;1;10;0;0;5;8;2;12;2;16,2;0,3;-0,92;Dropout
1;44;1;9130;1;39;120;6;4;4;3;6;120;0;0;1;0;0;0;20;1;2;6;13;3;11,6666666666667;0;1;6;11;3;12;0;12,4;0,5;1,79;Dropout
1;1;5;9773;1;1;126;1;3;3;2;2;121,1;0;0;1;1;0;0;18;0;0;6;6;4;12,75;0;0;5;5;0;0;0;12,7;3,7;-1,7;Dropout
1;17;1;9773;1;1;120;1;1;38;5;5;121,4;0;0;0;0;0;0;20;0;0;6;7;4;13;0;0;6;7;5;13,8;0;12,4;0,5;1,79;Dropout
1;39;1;9991;0;1;133,1;1;37;37;9;9;109,7;0;0;0;1;0;0;29;0;0;5;0;0;0;0;0;5;0;0;0;0;16,2;0,3;-0,92;Dropout
1;39;1;9991;0;1;130;1;38;38;9;9;120;0;0;0;1;0;0;27;0;0;5;12;5;10,6;0;0;5;10;5;11;0;9,4;-0,8;-3,12;Dropout
2;7;1;9254;1;3;130;1;1;3;4;3;130;0;0;0;1;0;0;39;0;0;6;10;0;0;0;0;6;6;0;0;0;12,4;0,5;1,79;Dropout
1;39;1;9130;1;40;129;1;3;3;2;2;155,3;1;0;0;1;0;0;27;0;0;6;9;5;13;0;5;11;13;10;12,9;0;12,4;0,5;1,79;Dropout
4;42;1;9500;1;19;133,1;1;1;1;5;5;126;1;0;0;1;1;0;29;0;2;7;10;5;11,9;0;1;8;10;5;11;0;13,9;-0,3;0,79;Dropout
1;1;3;9147;1;1;125;1;1;38;7;7;120,1;0;0;1;1;1;0;19;0;0;5;8;5;11,2;0;0;5;10;4;10,75;3;16,2;0,3;-0,92;Dropout
1;1;1;171;1;1;141;1;19;19;5;10;135,8;1;0;0;1;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;15,5;2,8;-4,06;Dropout
1;17;4;9254;1;1;118;1;38;37;5;7;111,7;1;0;0;1;1;0;18;0;0;6;12;3;11,6666666666667;0;0;6;12;1;12;0;12,4;0,5;1,79;Dropout
1;17;3;9147;1;1;120;1;19;19;4;7;115,5;1;0;1;1;1;0;18;0;0;5;8;3;10,3333333333333;0;0;5;11;3;10,8571428571429;0;10,8;1,4;1,74;Dropout
1;18;4;9254;1;1;106;1;19;37;7;7;106;1;0;0;1;1;1;21;0;0;6;8;4;10,5;0;0;6;11;1;11;0;9,4;-0,8;-3,12;Dropout
1;1;6;9853;1;1;114;1;19;19;9;9;110,2;1;0;0;1;1;0;20;0;0;6;8;5;12,2;0;0;6;7;5;12,2;0;10,8;1,4;1,74;Dropout
1;39;1;9991;0;2;140;1;3;3;2;2;155,7;1;0;0;1;1;0;35;0;0;1;1;0;0;1;0;5;0;0;0;0;10,8;1,4;1,74;Dropout
1;39;1;9003;1;4;160;1;3;3;4;2;180,4;0;0;1;1;1;0;24;0;6;12;17;6;12,1666666666667;0;7;12;14;10;13,3;0;12,4;0,5;1,79;Dropout
1;39;1;9500;1;1;133,1;1;1;1;4;10;100,8;0;0;0;1;1;0;24;0;0;7;18;0;0;0;0;7;7;0;0;0;13,9;-0,3;0,79;Dropout
1;15;1;9130;1;1;133,1;41;1;1;4;4;100;0;0;0;1;0;0;26;1;0;6;7;2;12;1;0;6;6;0;0;0;8,9;1,4;3,51;Dropout
2;39;1;9853;1;10;133,1;1;37;34;0;0;115,5;0;0;0;1;0;0;39;0;0;6;12;3;12,6666666666667;0;0;6;14;0;0;1;7,6;2,6;0,32;Dropout
1;1;4;9500;1;1;115;1;3;3;2;2;111,5;1;0;1;0;0;0;19;0;0;7;10;4;11,96;0;0;7;7;0;0;0;13,9;-0,3;0,79;Dropout
1;53;1;9085;1;42;130;1;38;38;9;9;128,8;0;0;0;1;0;0;21;0;7;10;12;8;12875;0;4;9;14;5;13,4;0;8,9;1,4;3,51;Dropout
2;39;1;8014;0;1;130;1;37;37;6;5;113,5;1;0;0;1;0;0;36;0;0;6;0;0;0;0;0;6;0;0;0;0;9,4;-0,8;-3,12;Dropout
1;18;1;9853;1;1;123;1;19;19;9;7;117,4;1;0;0;1;0;0;19;0;0;6;0;0;0;0;0;6;0;0;0;0;11,1;0,6;2,02;Dropout
1;1;2;9238;1;1;122;1;37;38;4;7;118,2;1;0;0;1;0;0;19;0;0;6;0;0;0;0;0;6;0;0;0;0;16,2;0,3;-0,92;Dropout
1;1;1;9085;1;1;113;1;1;1;4;4;106,7;1;0;0;1;0;0;20;0;0;6;15;4;14,2;0;0;6;17;4;13,25;0;15,5;2,8;-4,06;Dropout
1;1;5;9500;1;1;111;1;3;4;4;3;108,2;1;0;0;1;0;0;20;0;2;7;9;6;13,2666666666667;0;0;7;10;5;12,3;0;12,4;0,5;1,79;Dropout
1;17;2;9500;1;1;122;1;37;37;9;9;131;1;0;0;1;0;0;18;0;0;7;7;6;12,5166666666667;1;0;7;7;6;12,5166666666667;1;7,6;2,6;0,32;Dropout
1;17;1;9254;1;1;133,1;1;1;1;4;5;131;1;0;0;1;0;0;21;0;0;6;12;3;11;0;0;6;12;2;11;0;9,4;-0,8;-3,12;Dropout
